User_id,Day_name,Hour_of_Day,month_id,Watch_date,Month_Name,Day_classification,TV_Channel,Watch_Time,Duration,userid,Region,Age_Group,Race,Gender,email_flag,SM_Flag
809056,Fri,21,201602,2016-02-12,Feb,Weekday,Cartoon Network,21:59:00,00:00:14,809056,Western Cape,Adults,coloured,male,1,1
809056,Sat,18,201601,2016-01-02,Jan,Weekend,Boomerang,18:57:00,00:15:16,809056,Western Cape,Adults,coloured,male,1,1
809056,Fri,6,201601,2016-01-01,Jan,Weekday,Trace TV,06:26:00,00:02:48,809056,Western Cape,Adults,coloured,male,1,1
809056,Fri,23,201603,2016-03-04,Mar,Weekday,Trace TV,23:03:00,00:16:21,809056,Western Cape,Adults,coloured,male,1,1
809056,Sat,13,201603,2016-03-05,Mar,Weekend,ICC Cricket World Cup 2011,13:25:00,00:01:48,809056,Western Cape,Adults,coloured,male,1,1
809056,Thu,22,201602,2016-02-18,Feb,Weekday,Vuzu,22:58:00,00:00:27,809056,Western Cape,Adults,coloured,male,1,1
809056,Fri,17,201602,2016-02-12,Feb,Weekday,Channel O,17:32:00,00:00:42,809056,Western Cape,Adults,coloured,male,1,1
809056,Thu,16,201603,2016-03-31,Mar,Weekday,Boomerang,16:33:00,00:01:10,809056,Western Cape,Adults,coloured,male,1,1
809056,Wed,11,201603,2016-03-30,Mar,Weekday,Channel O,11:17:00,00:01:12,809056,Western Cape,Adults,coloured,male,1,1
809056,Sat,22,201603,2016-03-26,Mar,Weekend,DStv Events 1,22:47:00,00:01:15,809056,Western Cape,Adults,coloured,male,1,1
809056,Tue,9,201603,2016-03-01,Mar,Weekday,ICC Cricket World Cup 2011,09:14:00,00:03:44,809056,Western Cape,Adults,coloured,male,1,1
809056,Tue,16,201603,2016-03-29,Mar,Weekday,ICC Cricket World Cup 2011,16:00:00,00:24:42,809056,Western Cape,Adults,coloured,male,1,1
809056,Sat,0,201602,2016-02-13,Feb,Weekend,CNN,00:00:00,00:00:17,809056,Western Cape,Adults,coloured,male,1,1
779505,Sat,18,201602,2016-02-06,Feb,Weekend,Channel O,18:53:00,00:04:06,779505,Gauteng,Young Adults,black,male,1,1
831826,Sun,7,201602,2016-02-28,Feb,Weekend,SawSee,07:48:00,00:05:36,831826,Eastern Cape,Young Adults,indian_asian,male,1,1
831826,Sun,12,201602,2016-02-28,Feb,Weekend,ICC Cricket World Cup 2011,12:29:00,01:56:32,831826,Eastern Cape,Young Adults,indian_asian,male,1,1
939723,Wed,16,201603,2016-03-30,Mar,Weekday,ICC Cricket World Cup 2011,16:43:00,00:12:24,939723,Gauteng,Young Adults,black,male,1,1
764451,Mon,13,201601,2016-01-11,Jan,Weekday,Trace TV,13:11:00,00:03:06,764451,Gauteng,Young Adults,indian_asian,female,1,1
930104,Wed,21,201603,2016-03-30,Mar,Weekday,Boomerang,21:03:00,00:00:00,930104,Limpopo,Young Adults,indian_asian,male,1,1
793693,Mon,6,201602,2016-02-15,Feb,Weekday,SawSee,06:37:00,00:01:13,793693,Gauteng,Young Adults,black,male,1,1
793693,Mon,7,201602,2016-02-15,Feb,Weekday,Africa Magic,07:11:00,00:00:00,793693,Gauteng,Young Adults,black,male,1,1
793693,Fri,8,201602,2016-02-19,Feb,Weekday,Channel O,08:42:00,00:00:00,793693,Gauteng,Young Adults,black,male,1,1
793693,Sun,8,201602,2016-02-14,Feb,Weekend,Africa Magic,08:18:00,00:00:40,793693,Gauteng,Young Adults,black,male,1,1
549032,Tue,20,201601,2016-01-12,Jan,Weekday,SuperSport Blitz,20:32:00,00:01:34,549032,Gauteng,Adults,black,male,1,1
549032,Tue,21,201601,2016-01-12,Jan,Weekday,Boomerang,21:33:00,00:10:15,549032,Gauteng,Adults,black,male,1,1
597265,Sat,10,201601,2016-01-09,Jan,Weekend,Cartoon Network,10:30:00,00:08:13,597265,Gauteng,Young Adults,black,male,1,1
597265,Sun,16,201601,2016-01-17,Jan,Weekend,Trace TV,16:15:00,02:03:12,597265,Gauteng,Young Adults,black,male,1,1
597265,Fri,13,201601,2016-01-08,Jan,Weekday,Channel O,13:31:00,00:24:06,597265,Gauteng,Young Adults,black,male,1,1
806431,Tue,18,201602,2016-02-02,Feb,Weekday,SuperSport Blitz,18:34:00,00:04:48,806431,Eastern Cape,Adults,black,male,1,1
771924,Tue,9,201602,2016-02-09,Feb,Weekday,Africa Magic,09:55:00,00:01:11,771924,Gauteng,Young Adults,black,female,1,1
869019,Tue,10,201603,2016-03-15,Mar,Weekday,ICC Cricket World Cup 2011,10:43:00,00:03:06,869019,Gauteng,Adults,white,male,1,1
869019,Sat,6,201603,2016-03-26,Mar,Weekend,Boomerang,06:32:00,00:00:33,869019,Gauteng,Adults,white,male,1,1
789265,Mon,23,201602,2016-02-08,Feb,Weekday,Boomerang,23:09:00,00:19:48,789265,North West,Young Adults,white,male,1,1
882400,Sat,18,201603,2016-03-19,Mar,Weekend,Supersport Live Events,18:41:00,00:02:38,882400,Gauteng,Young Adults,white,male,1,1
918332,Mon,20,201603,2016-03-28,Mar,Weekday,Supersport Live Events,20:41:00,00:01:44,918332,Gauteng,Young Adults,indian_asian,female,1,1
918332,Wed,14,201603,2016-03-30,Mar,Weekday,ICC Cricket World Cup 2011,14:25:00,00:02:00,918332,Gauteng,Young Adults,indian_asian,female,1,1
918332,Tue,8,201603,2016-03-29,Mar,Weekday,SuperSport Blitz,08:47:00,01:23:04,918332,Gauteng,Young Adults,indian_asian,female,1,1
809063,Sat,12,201602,2016-02-20,Feb,Weekend,Trace TV,12:58:00,00:03:48,809063,Gauteng,Young Adults,black,male,1,1
809063,Sat,11,201602,2016-02-20,Feb,Weekend,SuperSport Blitz,11:15:00,00:00:08,809063,Gauteng,Young Adults,black,male,1,1
809063,Wed,7,201602,2016-02-24,Feb,Weekday,SuperSport Blitz,07:00:00,00:03:58,809063,Gauteng,Young Adults,black,male,1,1
2368583,Fri,16,201602,2016-02-26,Feb,Weekday,ICC Cricket World Cup 2011,16:27:00,00:01:32,2368583,Limpopo,Young Adults,indian_asian,male,1,1
2368583,Fri,9,201602,2016-02-19,Feb,Weekday,Supersport Live Events,09:13:00,00:01:30,2368583,Limpopo,Young Adults,indian_asian,male,1,1
786181,Sat,19,201603,2016-03-05,Mar,Weekend,SuperSport Blitz,19:14:00,00:02:48,786181,Gauteng,Young Adults,black,male,1,1
2285716,Thu,14,201603,2016-03-24,Mar,Weekday,Supersport Live Events,14:48:00,00:00:04,2285716,Gauteng,Young Adults,white,male,1,1
2285716,Tue,17,201603,2016-03-29,Mar,Weekday,SuperSport Blitz,17:47:00,00:00:26,2285716,Gauteng,Young Adults,white,male,1,1
793697,Thu,14,201602,2016-02-25,Feb,Weekday,SuperSport Blitz,14:08:00,00:01:16,793697,Kwazulu Natal,Middle Aged,None,male,1,1
939729,Sat,8,201603,2016-03-05,Mar,Weekend,ICC Cricket World Cup 2011,08:51:00,00:13:44,939729,Eastern Cape,Young Adults,coloured,male,1,1
939729,Sat,20,201603,2016-03-12,Mar,Weekend,CNN,20:22:00,00:05:46,939729,Eastern Cape,Young Adults,coloured,male,1,1
939732,Thu,19,201603,2016-03-24,Mar,Weekday,CNN,19:10:00,00:05:52,939732,Gauteng,Young Adults,black,male,1,1
939732,Wed,22,201603,2016-03-30,Mar,Weekday,CNN,22:38:00,01:04:59,939732,Gauteng,Young Adults,black,male,1,1
771927,Sun,9,201601,2016-01-31,Jan,Weekend,Supersport Live Events,09:08:00,00:18:14,771927,Western Cape,Adults,None,female,1,1
771927,Fri,16,201601,2016-01-29,Jan,Weekday,CNN,16:32:00,00:00:58,771927,Western Cape,Adults,None,female,1,1
771927,Thu,13,201601,2016-01-28,Jan,Weekday,SuperSport Blitz,13:00:00,00:17:14,771927,Western Cape,Adults,None,female,1,1
771927,Mon,8,201602,2016-02-01,Feb,Weekday,Supersport Live Events,08:12:00,04:49:00,771927,Western Cape,Adults,None,female,1,1
771927,Wed,14,201601,2016-01-27,Jan,Weekday,Supersport Live Events,14:14:00,00:01:18,771927,Western Cape,Adults,None,female,1,1
771927,Wed,5,201601,2016-01-27,Jan,Weekday,SuperSport Blitz,05:55:00,00:02:26,771927,Western Cape,Adults,None,female,1,1
771927,Sat,16,201601,2016-01-30,Jan,Weekend,Cartoon Network,16:39:00,00:01:38,771927,Western Cape,Adults,None,female,1,1
432435,Fri,3,201601,2016-01-08,Jan,Weekday,SuperSport Blitz,03:10:00,00:00:00,432435,Kwazulu Natal,Middle Aged,black,male,1,1
492897,Wed,14,201601,2016-01-20,Jan,Weekday,Channel O,14:11:00,00:14:06,492897,Mpumalanga,Young Adults,coloured,male,1,1
492897,Mon,23,201601,2016-01-18,Jan,Weekday,Trace TV,23:01:00,00:02:18,492897,Mpumalanga,Young Adults,coloured,male,1,1
894263,Wed,12,201603,2016-03-23,Mar,Weekday,ICC Cricket World Cup 2011,12:18:00,00:00:00,894263,Kwazulu Natal,Middle Aged,indian_asian,male,1,1
930123,Thu,9,201603,2016-03-31,Mar,Weekday,CNN,09:49:00,00:00:57,930123,Gauteng,Young Adults,indian_asian,male,1,1
930123,Thu,19,201603,2016-03-31,Mar,Weekday,SuperSport Blitz,19:52:00,00:21:32,930123,Gauteng,Young Adults,indian_asian,male,1,1
592732,Wed,5,201601,2016-01-13,Jan,Weekday,Africa Magic,05:04:00,00:15:05,592732,Limpopo,Adults,black,male,1,1
904340,Sun,17,201603,2016-03-27,Mar,Weekend,E! Entertainment,17:38:00,00:00:42,904340,Gauteng,Young Adults,indian_asian,male,1,1
904340,Sun,17,201603,2016-03-27,Mar,Weekend,Vuzu,17:45:00,00:00:22,904340,Gauteng,Young Adults,indian_asian,male,1,1
904340,Sat,21,201603,2016-03-26,Mar,Weekend,E! Entertainment,21:29:00,00:00:00,904340,Gauteng,Young Adults,indian_asian,male,1,1
820491,Tue,4,201603,2016-03-01,Mar,Weekday,Supersport Live Events,04:12:00,00:00:28,820491,Gauteng,Adults,black,male,1,1
859431,Thu,12,201601,2016-01-07,Jan,Weekday,SawSee,12:55:00,00:00:28,859431,Western Cape,Adults,black,male,1,1
820492,Mon,5,201601,2016-01-11,Jan,Weekday,Trace TV,05:47:00,00:09:51,820492,Limpopo,Middle Aged,black,male,1,1
820492,Sat,14,201603,2016-03-12,Mar,Weekend,CNN,14:30:00,00:00:00,820492,Limpopo,Middle Aged,black,male,1,1
820492,Wed,15,201603,2016-03-09,Mar,Weekday,Africa Magic,15:32:00,00:02:38,820492,Limpopo,Middle Aged,black,male,1,1
69889,Sun,15,201603,2016-03-20,Mar,Weekend,Supersport Live Events,15:40:00,00:00:00,69889,Western Cape,Young Adults,coloured,male,1,1
892603,Tue,20,201603,2016-03-22,Mar,Weekday,SuperSport Blitz,20:00:00,00:01:38,892603,Eastern Cape,Adults,black,male,1,1
809071,Sat,6,201603,2016-03-05,Mar,Weekend,Vuzu,06:19:00,00:01:40,809071,Gauteng,Adults,black,male,1,1
809072,Mon,8,201602,2016-02-22,Feb,Weekday,Boomerang,08:15:00,00:00:43,809072,Kwazulu Natal,Young Adults,black,male,1,1
809072,Sun,15,201602,2016-02-21,Feb,Weekend,Boomerang,15:47:00,00:00:27,809072,Kwazulu Natal,Young Adults,black,male,1,1
809072,Fri,6,201602,2016-02-12,Feb,Weekday,Channel O,06:24:00,00:25:45,809072,Kwazulu Natal,Young Adults,black,male,1,1
809076,Fri,22,201602,2016-02-19,Feb,Weekday,Cartoon Network,22:48:00,00:04:43,809076,Western Cape,Young Adults,coloured,male,1,1
809076,Fri,16,201602,2016-02-19,Feb,Weekday,Channel O,16:47:00,00:00:30,809076,Western Cape,Young Adults,coloured,male,1,1
809076,Sat,7,201602,2016-02-20,Feb,Weekend,ICC Cricket World Cup 2011,07:16:00,00:01:42,809076,Western Cape,Young Adults,coloured,male,1,1
809076,Sat,7,201602,2016-02-20,Feb,Weekend,Supersport Live Events,07:20:00,00:03:00,809076,Western Cape,Young Adults,coloured,male,1,1
809076,Fri,5,201602,2016-02-19,Feb,Weekday,Channel O,05:55:00,00:13:15,809076,Western Cape,Young Adults,coloured,male,1,1
809076,Fri,6,201602,2016-02-19,Feb,Weekday,Supersport Live Events,06:22:00,00:00:12,809076,Western Cape,Young Adults,coloured,male,1,1
809076,Tue,12,201603,2016-03-08,Mar,Weekday,Channel O,12:30:00,01:00:30,809076,Western Cape,Young Adults,coloured,male,1,1
809076,Fri,11,201603,2016-03-18,Mar,Weekday,Supersport Live Events,11:25:00,00:10:10,809076,Western Cape,Young Adults,coloured,male,1,1
809076,Fri,21,201603,2016-03-04,Mar,Weekday,Africa Magic,21:10:00,00:03:58,809076,Western Cape,Young Adults,coloured,male,1,1
809076,Fri,23,201603,2016-03-04,Mar,Weekday,Channel O,23:03:00,00:01:09,809076,Western Cape,Young Adults,coloured,male,1,1
809076,Thu,5,201602,2016-02-18,Feb,Weekday,Boomerang,05:53:00,00:02:43,809076,Western Cape,Young Adults,coloured,male,1,1
809076,Thu,6,201602,2016-02-18,Feb,Weekday,Channel O,06:14:00,00:11:36,809076,Western Cape,Young Adults,coloured,male,1,1
809076,Sun,17,201603,2016-03-06,Mar,Weekend,Boomerang,17:10:00,00:02:25,809076,Western Cape,Young Adults,coloured,male,1,1
809076,Sat,6,201602,2016-02-27,Feb,Weekend,Africa Magic,06:37:00,00:02:44,809076,Western Cape,Young Adults,coloured,male,1,1
809076,Sat,11,201603,2016-03-12,Mar,Weekend,ICC Cricket World Cup 2011,11:09:00,00:05:00,809076,Western Cape,Young Adults,coloured,male,1,1
809076,Sat,17,201603,2016-03-12,Mar,Weekend,Supersport Live Events,17:01:00,00:00:44,809076,Western Cape,Young Adults,coloured,male,1,1
809076,Mon,12,201603,2016-03-21,Mar,Weekday,Channel O,12:33:00,00:05:18,809076,Western Cape,Young Adults,coloured,male,1,1
